question_id,question_intent,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank,retrieved_chunk_ids_reranked,rank_of_first_relevant_reranked,retrieved_in_top_k_reranked,delta_hy_re_rank
0,status / scope,0,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,3|36|15|19|22|5|13|10|1|9|40|21|31|8|37|17|24|4|32|35|39|23|11|29|33|0|12|7|27|14|20|41|34|28|18|26|2|30|6|38|25|16,26,FALSE,0.802898792932007|0.793037043663901|0.7895200602843944|0.7846688047778039|0.7833542858143301|0.7828361582849321|0.7797708254070811|0.7778047488241032|0.7667923331161209|0.7657367791981987|0.7643998547971466|0.7627021999404445|0.7563628177778234|0.7525921356126413|0.7390277733095967|0.7330208363732307|0.6958407861200032|0.2586955071920817|0.24980921757520697|0.2204414496234078|0.21651598054001356|0.20748358637838915|0.20586008933592406|0.20582929276402454|0.204787933781468|0.20281198766510306|0.2010130457811632|0.19952797773542713|0.19921912591698077|0.19487774825994233|0.19297303259064683|0.18182133636100334|0.1356943350822912|0.10515516857811177|0.10503643157450433|0.10494607242351922|0.10454919594643827|0.10129758200345398|0.10047030738541195|0.09390628304576505|0.07206814936255906|0.06608629868560972,0|13|29|9|12|40|7|2|32|14|1|8|3|28|39|37|27|35|30|5|36|16|38|33|6|21|31|4|34|19|25|17|41|24|11|18|23,1,TRUE,22.595732011626335|9.75900873380602|9.466578276473223|9.32950049371121|8.603788823930403|8.543669093342814|8.424869321636937|7.457204028119504|7.126539416316344|6.578993393190853|5.6830398157004804|5.65225718853869|5.458623290210875|5.4567797905855135|5.256012177378719|5.143943134485561|4.839556491646823|4.20616561132396|3.9766534413591037|3.948284806775371|3.9039734554112013|3.868357122534316|3.5661862322732705|3.235128530826819|3.1852603768573795|3.092065749051556|3.0286423898093955|2.681159841155268|2.3720519679351173|1.7334785726911526|1.3089347914046168|1.2116397961291807|1.1196660969520165|0.787780317365655|0.6804310285328378|0.5509452632809687|0.3541901497740778,3|5|13|1|9|40|8|37|32|35|39|29|0|12|7|27|14|28|2|30|36|15|19|22|10|21|31|17|24|4,13,FALSE,13,13|9|3|40|1|8|0|36|5|37|19|21|31|17|24|7|29|12|32|14|4|39|35|2|27|33|28|11|23|41|6|34|30|38|16|18|25|10|15|20|22|26,7,FALSE,6
1,factual,1,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,3|15|5|22|19|36|10|9|31|1|13|8|37|40|21|17|24|27|32|4|35|23|39|14|12|0|7|20|29|11|34|41|33|38|26|18|28|2|30|6|25|16,10,FALSE,0.8074143572823648|0.7949725697253345|0.794832356915708|0.7839740705331464|0.7838590454380606|0.7827779010983266|0.7764286494453042|0.7735062003824696|0.7686534429990707|0.7645842544843999|0.7634259856867001|0.755088399482921|0.7519325472621513|0.751418045367237|0.7505920559456978|0.7230091071957719|0.7145992765305454|0.2724664133800449|0.24049777929430233|0.23916974471153668|0.22127865972746955|0.21883132985732381|0.21488562327647823|0.2124617947984491|0.20652340949834241|0.20520057973241895|0.20100777887312266|0.19113114716453858|0.18975924349820286|0.18487208042858366|0.183099233389462|0.16120426167223068|0.15169944671446184|0.13789528699626516|0.1076965294557577|0.10592586489796639|0.10326594901249095|0.10286097483109208|0.10035701852497408|0.09985412343870055|0.07204020988651547|0.06653184631597817,1|13|0|14|40|12|2|29|7|8|9|3|4|32|34|31|39|35|36|37|33|41|24|25|38|18|17|5|16|23,1,TRUE,17.294166143431774|7.765803880249816|7.4941683514957|5.387527089447363|4.693297919707245|4.170368567971025|3.866574038015838|3.834829122422551|3.6885081086602804|3.5813229576903267|2.8207886709283154|2.509062888420604|1.9607972902449773|1.8602484142905817|1.7340595817967817|1.6736052463292062|1.4412093723398813|1.4355213022167121|1.365881095981075|1.2103153693394983|1.129010967048147|1.1196660969520165|0.787780317365655|0.7142171935543146|0.5886637148162372|0.5509452632809687|0.5312087675963431|0.3782847900562539|0.36785794624627677|0.3541901497740778,3|36|9|31|1|13|8|37|40|32|4|35|39|14|12|0|7|29|34|2|15|5|22|19|10|21|17|24|27,5,FALSE,5,1|13|3|40|8|9|36|31|5|37|17|24|0|14|12|7|29|4|32|35|39|2|34|23|41|33|38|18|25|16|6|10|11|15|19|20|21|22|26|27|28|30,1,TRUE,4
2,factual,2,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,19|5|36|3|15|22|10|40|1|31|21|13|8|37|9|17|24|4|12|14|29|39|35|32|20|27|0|7|23|11|33|41|38|34|26|28|30|18|2|6|25|16,39,FALSE,0.6795730071283004|0.6730219189753628|0.6714396627203725|0.6658231405751995|0.6650429904413342|0.6567307639393664|0.6523528293126217|0.6445170350551941|0.6371888965939869|0.6307110853190466|0.6301129043942778|0.6294643676819505|0.6286368968579729|0.6246134286933317|0.6194401664543309|0.6060170838497949|0.5904624571343321|0.2828085673623943|0.2370524951958531|0.23646172875107732|0.23271434808138125|0.22929635327097148|0.2225111884648249|0.21612554417262006|0.21440120622211453|0.2072663321681287|0.2017073814240074|0.18730885278479112|0.1812320911925541|0.1806166987379093|0.1791644150159124|0.16503413937575082|0.1509178839585805|0.11009917632664636|0.09158308439294997|0.08885392234044681|0.08853283652904881|0.0871438166687299|0.08480512749485261|0.08106170242874965|0.0621278323897545|0.05881566794756971,2|3|30|1|5|36|37|38|35|11|31|10|7|14|8|6|9|4|32|12|39|33|40|28|13|29|24|16|23|34|0|17|25,1,TRUE,18.360929314969933|16.586905809273567|14.841495605151033|12.403506468454124|11.391563504796931|10.815721131087404|7.936112129406659|7.26237860095881|6.863590192884555|6.715846663408469|6.038792279235644|5.946881941641697|5.151953609319893|4.988904343170502|4.4789146889438785|4.245683356518837|4.237479290170894|4.064920787024105|3.7650905094052574|3.2604637676951866|3.191107351560152|3.0743342117720536|2.8723059021118384|2.6610240645458716|2.5407462885549075|2.3221710912986433|1.5118108042604437|1.4951754478746184|1.2728171251843345|1.0005530979129518|0.7790039096068406|0.7762782686760904|0.6784910267920797,5|36|3|10|1|31|8|37|9|4|12|14|35|32|7|11|38|30|2|6|19|15|22|40|21|13|17|24,19,FALSE,20,3|5|1|36|10|31|37|8|9|40|2|13|24|17|30|11|35|14|4|38|7|32|39|12|29|33|6|0|23|28|34|16|25|15|18|19|20|21|22|26|27|41,11,FALSE,8
3,decision,3,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,5|3|10|15|36|19|22|13|9|1|40|37|8|21|31|17|24|4|32|27|35|12|7|14|0|20|23|33|41|11|39|34|38|29|26|18|28|2|30|6|25|16,2,TRUE,0.7918786242877641|0.7896556984154474|0.7857374731444259|0.7850697702205754|0.782989622921754|0.7791352501481352|0.7696590464199807|0.7669441803921371|0.7645256977389857|0.7603224067099149|0.7595038126689531|0.7594251094540062|0.7456914511677747|0.7410566008508812|0.7398948661136308|0.717963093345794|0.6968100304200948|0.2638562364950073|0.24223890830879646|0.2389915642017262|0.22056628355213492|0.215545548757501|0.209589927494008|0.20805349569549816|0.20785231512502786|0.20559497608766278|0.20540817614692908|0.2048117535968123|0.19943869752652368|0.185253114337205|0.17715408392793291|0.13410569853948712|0.12300594715419085|0.11494373028308137|0.10533357875689354|0.10470996161409879|0.10409470420977454|0.10203894554681399|0.0995892378756067|0.09871012069273942|0.06990677897589037|0.06590664028686717,1|3|0|6|39|29|8|7|2|12|37|30|35|31|20|5|38|32|40|9|4|13|10|19|23|11|22|21|33|34|41|16|25,2,TRUE,17.795512777014157|14.82089872870845|11.842324353098643|11.512453763878705|10.059424978742614|9.513111355317651|8.585033684561195|8.243107257684086|8.158412502317214|6.86195662481575|6.651160214825355|5.576779209787184|5.304306231986528|5.125495613303803|5.008403890755987|4.789379298020608|4.751308311355544|4.625372057249994|4.548652373645686|4.151754856214101|4.091489004932585|3.271225900380292|2.5764507316366894|2.4249709967236015|2.3166168601964774|2.2853982280178737|1.9125051521525438|1.269084970836964|1.1431044008145579|1.1371630934114214|1.1196660969520165|0.8233919546559733|0.7236591463464723,5|3|9|1|40|37|8|31|32|35|12|7|0|20|39|38|29|2|30|6|10|15|36|19|22|13|21|17|24|4|27,2,TRUE,0,1|3|8|37|5|9|40|31|13|10|19|21|22|0|7|6|39|29|12|4|32|35|2|20|30|23|38|11|33|41|34|25|16|14|15|17|18|24|26|27|28|36,2,TRUE,0
4,rationale,4,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,36|17|40|21|22|5|3|10|31|24|19|15|8|9|13|1|37|23|30|35|7|4|14|29|27|11|20|39|12|34|0|18|26|33|6|32|41|28|25|16|2|38,22,FALSE,0.20797901264337684|0.20655154998776779|0.19863199324128689|0.19853495934923804|0.19802756207456493|0.1960926354423483|0.18615830213122542|0.1832110599763826|0.15856719587565726|0.1576526597984436|0.1567430592765047|0.15673342592880035|0.15257363714035235|0.13991842646477476|0.12372322669035721|0.12364772212089632|0.1223600670663323|0.03892839841359179|0.038496739598466896|0.03704233012984793|0.036663242571466435|0.036325058397373676|0.035532627305356834|0.035390153184629076|0.035220103108520494|0.03424280707620879|0.03238137880927047|0.03095239198630901|0.029099654845722713|0.028196887281095578|0.026760742638366246|0.02668522540211637|0.025491002808295908|0.025322153221493462|0.024684980914487904|0.024401896177520983|0.024323718276488483|0.024204260507760873|0.024027539161908293|0.01700568196347484|0.01654155965990696|0.016507570549372613,4|2|3|35|1|10|5|41|36|15|17|26|18|28|40|22|29|27|32|33|34|25|38|8|37|39|6|30|21|31|7|9,1,TRUE,15.321483261852133|14.302592498538276|11.977986503163692|8.767856408328452|7.046839664255084|6.433898604524305|5.534908818361994|5.459946393657387|5.017057546083086|4.744122604578939|4.304123550275751|4.266673191337014|4.076852497689753|4.035503966457342|3.924379070398099|3.8830511905614116|3.825145359739872|3.8184315861213856|3.6864420776989535|3.5239393608001692|3.5165321335791533|3.1553545317188574|2.3588243073539235|2.2919435523917797|1.935954159682969|1.9027063048568313|1.8148627959421195|1.7048101554554955|1.6652401792331502|1.6502269654195953|1.591393391504549|1.5600373944004116,36|17|40|22|5|3|10|15|1|35|4|29|27|18|26|33|32|41|28|2|21|31|24|19|8|9|13|37|23|30,11,FALSE,11,3|5|36|17|10|40|21|22|15|4|1|2|31|8|9|37|35|26|41|27|28|29|18|25|34|32|33|7|30|39|6|38|0|11|12|13|14|16|19|20|23|24,10,FALSE,1
5,rationale,5,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,36|15|3|19|40|13|1|22|5|9|10|8|31|21|17|37|24|27|4|32|12|7|23|30|35|11|14|20|29|0|41|34|33|39|38|18|26|2|28|6|25|16,9,FALSE,0.8408194069193586|0.8247810736420197|0.8242722901947395|0.8225001855693418|0.8193856101238727|0.8142418515798194|0.8122871368563007|0.8105209887355975|0.804734808765005|0.804325094987037|0.8013242641268824|0.7868031618927519|0.7856384959424011|0.7843856937533368|0.7766774174688517|0.7728450676341856|0.7605432737648842|0.26313213607487224|0.24161056649161228|0.23699917719748215|0.2141133012128883|0.21227728681578334|0.21166351129789607|0.2057271090985168|0.20018817585964233|0.19918178577206555|0.19656892818213426|0.18994270143884387|0.18794896809276548|0.18504250890569657|0.18413048415816313|0.17079844849910786|0.1680233017407752|0.16563977594052262|0.11580436963339928|0.1107013347737944|0.1105269938704848|0.10838273159068074|0.10704140681718151|0.10398780324129209|0.07519390412668336|0.06993025856988894,5|29|3|1|6|4|40|2|9|26|39|12|25|32|8|0|27|18|17|14|15|20|19|13|41|10|7|16|23|37,1,TRUE,18.180656622199574|7.238872594774756|4.916052386353891|4.707660701702217|4.622371420279271|4.257581922618186|3.7856339035045274|3.7748354118709093|3.6847637900862047|3.46714567917033|3.17846003903382|2.875099884914088|2.4880870222496094|2.408696426174894|2.3896428512751804|2.2353675785031304|2.201802569538025|2.1247263956857934|2.0187253222578767|1.8473873216086076|1.8148627959421195|1.2231055326264975|1.1985683824352875|1.172397843279387|1.1196660969520165|0.8817197841551299|0.8279562249975134|0.8233919546559733|0.792798749403994|0.7271823255600189,3|40|1|5|9|8|17|27|4|32|12|14|29|0|39|18|26|2|6|25|36|15|19|13|22|10|31|21|37|24,4,TRUE,5,5|1|3|40|9|8|15|19|13|17|10|37|29|4|27|32|12|39|6|0|14|2|7|23|20|26|41|18|25|16|11|21|22|24|28|30|31|33|34|35|36|38,1,TRUE,3
6,decision,6,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,36|3|15|19|22|10|1|5|40|21|9|8|13|37|31|17|24|27|4|32|39|23|35|7|12|11|20|33|29|41|34|0|14|26|18|2|30|28|38|6|25|16,40,FALSE,0.8159771381151075|0.8098044483041019|0.801312090236999|0.7874623415311389|0.7859788798246545|0.7847648454456415|0.7833543217227824|0.783094643664936|0.780455926963633|0.7759237147097607|0.7733867883368899|0.7709801604516873|0.7674153945643414|0.754781732728851|0.7543390236449847|0.7347567480350704|0.7149992671021117|0.2785510902056798|0.25847527846648|0.2270983885662521|0.224267107065394|0.22391168695617425|0.21812994237683603|0.21482349269593173|0.20935643931364514|0.20389457718062165|0.20021578413713467|0.18960050973421858|0.18660836360904798|0.18258203796663158|0.18243766181798848|0.18181299103706877|0.12880365860257928|0.10678587462471158|0.10628461577317723|0.10429074337044238|0.10287609594131025|0.10271819799311992|0.10125140634888281|0.10057881012549179|0.07285961602681443|0.06796918563419692,6|12|3|5|2|1|7|0|29|8|32|31|13|9|28|38|34|27|41|14|40|4|23|15|39|35|36|37|10|33|21|24|25|18|17|16,1,TRUE,13.015752855535254|9.631195422132016|9.111709560300008|8.454793269660842|7.663510069671587|7.039278702703568|6.34701043172347|5.999430192960913|4.938650628602719|4.685144463870496|4.495536970811168|4.362005858338059|4.278984048585735|3.94393033312275|3.2330473965274686|3.128009459904191|2.7346126797097337|2.6857341154723553|2.5627444341243564|2.246010067885469|2.0747623805969955|1.9607972902449773|1.8780082605665611|1.8148627959421195|1.4412093723398813|1.4355213022167121|1.365881095981075|1.2103153693394983|1.1364019357505541|1.129010967048147|1.1166268993802881|0.787780317365655|0.7142171935543146|0.5509452632809687|0.5312087675963431|0.36785794624627677,3|1|5|9|8|13|31|27|32|7|12|29|41|34|0|14|2|28|38|6|36|15|19|22|10|40|21|37|17|24|4,20,FALSE,20,3|5|1|8|13|9|31|15|36|40|10|21|6|37|17|24|12|7|2|0|32|27|29|4|23|34|41|39|35|28|33|38|14|18|25|16|11|19|20|22|26|30,13,FALSE,7
7,decision,7,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,36|3|15|5|22|10|13|1|19|40|37|21|9|8|31|24|17|7|4|35|27|32|29|20|0|12|41|11|14|39|23|38|26|18|33|30|2|28|6|25|34|16,18,FALSE,0.7735787850443049|0.7625948914120045|0.7596433446271128|0.7578584997334388|0.7446185424270068|0.7432712854179554|0.7350911422031055|0.7330131940935858|0.7309611909206329|0.7223821978910833|0.7176888992508407|0.7170156332203605|0.7151094166513199|0.7050415064495741|0.692620156907322|0.6864558662281574|0.6708958282976217|0.22162584043374275|0.21852328073456959|0.21565891649686894|0.21331777365265214|0.20661346445692777|0.20263027831335848|0.19760191215974712|0.19107748936762406|0.1710856026629058|0.1684144437631332|0.16815077795219674|0.16771643115990548|0.1643437630220014|0.13489178882255945|0.11361352220920368|0.1018166911025423|0.10078158292316826|0.10026538763011517|0.09971399285316593|0.09790753893588099|0.09749991462722112|0.09521040688570656|0.0689874803670624|0.06729235716395963|0.06638648867389874,7|9|12|8|2|31|10|0|3|29|36|1|14|6|39|13|30|40|37|11|38|28|4|16|32|34|19|35|15|33|41|24|25|18|17|5|23,1,TRUE,17.24445347052113|13.045186206819483|9.474441561289577|8.869636699960733|7.857253304343377|7.741783675789571|7.082491141861029|6.69269705962516|6.247327478327791|5.480972452672793|5.42688298962651|5.394051476944216|5.387527089447363|5.06544164486332|4.636522579819818|4.278984048585735|4.048599175672339|3.075315478509947|2.9697698983376855|2.876911118303163|2.410195938110433|2.2507485520809416|1.9607972902449773|1.8942562922930593|1.8602484142905817|1.7340595817967817|1.7334785726911526|1.4355213022167121|1.1297328895982868|1.129010967048147|1.1196660969520165|0.787780317365655|0.7142171935543146|0.5509452632809687|0.5312087675963431|0.3782847900562539|0.3541901497740778,36|3|10|13|1|40|37|9|8|31|7|29|0|12|11|14|39|30|2|6|15|5|22|19|21|24|17|4|35,11,FALSE,7,9|8|3|10|36|31|1|13|7|40|37|19|15|5|24|17|12|0|29|2|39|14|4|6|32|35|11|30|41|28|38|23|33|16|34|18|25|20|21|22|26|27,9,FALSE,2
8,rationale,8,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,36|3|5|15|22|10|13|1|31|9|19|40|21|8|37|24|17|27|23|32|35|33|4|14|7|12|20|39|0|41|29|11|34|26|18|38|2|28|30|6|25|16,14,FALSE,0.791046575304542|0.7798771923778683|0.770312663345081|0.7692024706514667|0.7564049125502668|0.7557071765858551|0.7528042362026788|0.7506520906181674|0.749727863680189|0.7454325856791078|0.7440043349499408|0.7378679966703675|0.7169837983532451|0.7134137086311204|0.7077108722447548|0.6871174778918903|0.6749824908019495|0.2542317662743787|0.2156958019405546|0.21276210579112778|0.2123841799446184|0.20867732565462377|0.20620956706042184|0.20607758760608422|0.2029890744922027|0.1987919190670892|0.19390741208851028|0.19135158395579557|0.1887701568962448|0.18095835822824965|0.15785791029277815|0.14857460947573564|0.11159461894674276|0.10389984124214362|0.10182213591790108|0.10153069629012329|0.09973094504834676|0.09936066343552241|0.09887299755527247|0.09734936093596627|0.0712817754611455|0.06604539181705842,8|7|9|1|10|12|2|5|6|0|31|36|3|13|29|40|37|27|18|38|30|16|33|26|39|17|28|25|19|4|32|11|35|15,1,TRUE,20.63282336731866|15.213689638138188|14.133290098550935|11.176781651291487|8.990682789408849|7.6877150456481935|6.303905987795614|5.999343176393858|5.854271724431305|5.591069345738481|5.443534616924675|5.198615500754952|4.892998019847853|4.526245204128915|4.320934814649653|4.169278309970208|3.8808719845114306|3.8184315861213856|3.799682125209118|3.2695904190010214|3.2304198505574058|3.109018870774964|2.6322165358591154|2.3703097637762616|2.148885063324271|2.0187253222578767|1.9460743351716172|1.764427875903137|1.6092341775055492|1.5691925718558675|1.5078115735516624|1.4384555591515815|1.1371630934114214|1.1297328895982868,36|3|5|10|13|1|31|9|40|8|37|27|7|12|0|29|18|38|2|6|15|22|19|21|24|17|23|32,10,FALSE,4,8|9|1|10|3|13|36|5|31|40|37|15|19|7|17|12|0|27|29|2|33|6|39|4|35|32|30|18|38|11|26|16|28|25|14|20|21|22|23|24|34|41,1,TRUE,9
9,scope/inventory,9,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,36|15|3|5|22|10|31|19|40|1|9|13|21|8|37|17|24|4|23|27|32|7|35|29|14|20|12|41|33|39|0|38|11|26|18|28|30|2|6|34|25|16,11,FALSE,0.7735469485799521|0.7721305425438282|0.7577493099666751|0.7567585509098277|0.744667826398736|0.7431843770163368|0.7414989440499145|0.7408755138716914|0.7380193082476735|0.7376521920403931|0.7349926122899995|0.731679790291244|0.712172063345306|0.7097497425782524|0.7084872574206482|0.6949015932655592|0.6477837376689775|0.2600351651295629|0.2274074829571022|0.21517211627455649|0.21448210995437894|0.21350398329329917|0.2124349745034385|0.20388606000910145|0.20308110372670052|0.19728210766948956|0.19714729240909806|0.19172304784204783|0.1876854102432076|0.17877634071128531|0.14973997501437883|0.13669696308604484|0.11387358230492722|0.10248437562825967|0.10063197731981643|0.09896635136674745|0.09825701053495327|0.09779358314929149|0.09522778337989364|0.08882568814067512|0.069360461256613|0.06523988816078587,9|8|1|14|2|29|0|12|7|3|30|36|13|6|38|5|32|31|40|28|37|27|4|21|17|11|33|10|18|16|39|34|35|25,1,TRUE,23.65309364929237|8.547548514284824|7.831849876832151|7.777685038332805|7.115202207481451|6.110550402165607|5.739653457210125|5.286290752521495|4.518741110190858|4.37007279808378|4.221513439749304|4.099979911577896|4.09203291065711|4.000013132432584|3.8882886291041316|3.570000016719117|3.529262829444205|3.5116304564194345|3.3513851023067343|3.206031238504572|2.8156814241820625|2.3587680141471026|2.289555122766158|2.2629940769483174|2.162639278093752|2.118886587684419|2.1061175637786715|1.8925583652918478|1.5600373944004116|0.7231765647161755|0.6853929406905893|0.6379923861383356|0.6379923861383356|0.5947175978503022,36|3|5|31|40|1|9|13|8|32|7|29|14|12|0|38|28|30|2|6|15|22|10|19|21|37|17|24|4|23|27,7,FALSE,4,9|8|1|3|36|13|5|31|40|10|37|21|17|14|29|12|7|4|0|32|27|2|33|38|35|30|39|6|28|11|18|34|25|16|15|19|20|22|23|24|26|41,1,TRUE,6
