question_id,question_intent,question_text,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank
1,definition,What architectural components are removed in the Transformer model?,1,1,56|630|276|130|232|61|609|618|536|54|178|17|488|565|627|491|291|1|364|83|591|182|62|31|84|571|561|263|138|20|149|241|59|580|15|257|226|616|581|49|327|163,18,FALSE,0.7602908294384431|0.7529896251193519|0.7398320405472587|0.7341303311581954|0.7329459885861132|0.7303555835227514|0.7283163087016015|0.7282532825573558|0.727966756746343|0.7272478991480155|0.724326033785719|0.7239351029146993|0.7233358175093157|0.7225143211124282|0.7204382023003074|0.7182244868039456|0.7176509657561623|0.7166902621161999|0.7166140219076644|0.7154391457995443|0.7146705094726249|0.7135509048062983|0.7134654395495027|0.7131330389523199|0.7130690907805851|0.7125228658287309|0.7120793869018494|0.711494676123595|0.7108959634060948|0.7101813976459601|0.7091470357898152|0.7090630796671296|0.7089463378067105|0.7082740626376952|0.7071317290648539|0.7070104094639843|0.7068054932660732|0.7061981182540273|0.7061830297321668|0.7059037279301835|0.7052906714184943|0.7051434133530058,386|539|111|290|389|212|302|170|229|105|502|385|155|192|253|214|288|188|109|198|246|207|228|150|11|161|533|230|72|199|91|384|510|151|9|331|348|90|387|1|126|152,40,FALSE,12.159387387759628|10.696567699417223|9.673176588394513|8.177248374857461|7.978706318407378|7.901160810617635|7.900668470774222|7.675073949137554|7.277285533672721|7.248851351298157|7.226492392120834|7.220758168977546|7.094970571930648|7.0049333725629745|6.946302268043167|6.933749356050691|6.77882655194736|6.3518538007587395|6.244717862791617|6.097747448275051|6.026270515830944|5.961396439559658|5.956131139212052|5.955318499723296|5.935298731760561|5.8843526113118365|5.877013523638058|5.826069979572225|5.8235098180454425|5.786519046967314|5.6629296094269925|5.606669546908401|5.555166434103935|5.453635521100944|5.4268287211129405|5.3772463147818215|5.33739993774196|5.313154242505922|5.271957766118082|5.259198921898618|5.239147407832198|5.217722340211324,386|539|111|290|389|212|302|170|229|105|502|385|155|192|253|214|288|188|109|198|56|630|276|130|232|61|609|618|536|54|178|17|488|565|627|491|291|1|364|83,38,FALSE,-20
2,mechanism,What aspect of recurrent neural networks prevents parallelization during training?,6,1,630|536|61|56|130|54|276|17|232|565|62|581|1|291|84|49|518|15|572|123|109|561|545|386|182|527|31|616|552|627|591|629|83|570|357|241|557|221|105|204|586|517,,FALSE,0.83297342132329|0.8206898778181945|0.8192366212654936|0.8176078318797133|0.8160092495312701|0.8086250400499023|0.8017486094218991|0.7979462691490022|0.797796105773635|0.7967775174646161|0.7960950445679219|0.7918234175006313|0.7908168883662571|0.7897818305740697|0.787956466449872|0.7879368779565574|0.787637804238756|0.7866536260190579|0.7863356720724093|0.7854501544161354|0.7853847219744278|0.7850879105172169|0.7845016877001104|0.7843096277211186|0.7827517314749731|0.7821448558282923|0.781948348377981|0.7818420588733617|0.7805396798738435|0.7804057415604482|0.7798586060600425|0.7792974978146129|0.7787951854478572|0.7785017302186902|0.7780801507351403|0.7773854566119304|0.7770681107867945|0.7757178533244115|0.7755556933921706|0.7747313636440714|0.7746003354491223|0.7744278364480567,74|408|56|410|152|82|76|83|230|247|302|539|607|70|231|239|197|192|36|283|210|34|242|290|417|215|319|32|426|528|52|289|62|604|207|63|391|105|608|331|386|437,,FALSE,13.96008030912957|12.932002576009156|11.832704511679164|10.280097766013082|10.048581851151274|8.44953586241635|8.405189975409296|8.059920636837145|7.65934708980444|7.657772282001872|7.605855404250862|7.590243383641322|7.221242495133787|7.137693346305016|6.847234756401985|6.396214465012216|6.334302742593444|6.25636925561631|5.9034254862050375|5.78039655535507|5.696750946936101|5.696329696332183|5.681025452991664|5.580636125134987|5.34483713677335|5.33317136069774|5.215943704206574|5.1823895813336875|5.151893314949319|4.883072011331384|4.813045903234171|4.778739412647566|4.692699964791814|4.575677738969937|4.565574975455973|4.5655334419258695|4.525868098566409|4.516649130477371|4.405860496223241|4.403249125348994|4.390329691519503|4.377991445504749,56|83|74|408|410|152|82|76|230|247|302|539|607|70|231|239|197|192|36|283|630|536|61|130|54|276|17|232|565|62|581|1|291|84|49|518|15|572|123,,FALSE,
3,capability,What capability do attention mechanisms provide for modeling dependencies in sequences?,7,1,630|130|56|536|61|17|54|276|232|581|15|627|62|495|109|386|49|565|31|24|518|557|572|616|308|1|545|552|53|561|517|48|527|89|586|219|204|123|224|609|87|353,,FALSE,0.8619596996492105|0.8437841006618595|0.8343577507188064|0.8328465176145089|0.8291542023250523|0.8258637174967713|0.8240496793754828|0.8197423869501567|0.8183930659459504|0.8163478685579331|0.8163104050935738|0.8131315830970314|0.8126630523751291|0.811229816904177|0.8098681287386573|0.8089760825271431|0.8080164979104059|0.807784219940766|0.8058260111313277|0.8042877698867889|0.8040763196793208|0.8040251572934324|0.8035302429255362|0.8029091197053079|0.8018231823051297|0.8016725484699944|0.8015694319332854|0.8010403436520039|0.8006774358896256|0.8006142928763973|0.7999197082813644|0.7994122289105756|0.7988979367112199|0.798433878335146|0.7983232194852395|0.7977814150563642|0.7975094071489984|0.7971743932664112|0.7964664923680678|0.7955873666776759|0.7955657213830963|0.795533263416323,386|86|24|9|233|176|200|105|89|373|171|5|56|257|6|362|540|172|166|268|384|192|211|302|338|360|331|227|51|146|106|339|140|395|405|69|187|175|23|361|408|92,,FALSE,13.384318632437978|11.006951244769162|10.033832431932051|9.464788727719364|9.321345526858046|8.777415562051647|7.810777049005668|7.649727081354367|7.361749252706518|7.326282968639141|7.176512918415119|6.814798692720127|6.732251262270905|6.605696206403586|6.547612169584413|6.463113475986947|6.419917766088927|6.188937513175592|6.175249230226752|6.076610807635557|5.965196826802483|5.871712353386164|5.839924676864726|5.756441394973317|5.702762741349329|5.683976387252901|5.614402342898133|5.5329858494604265|5.501488453530724|5.445197980949348|5.41883700688703|5.415654060783679|5.358924577730324|5.352531207940009|5.326162235897813|5.320793129601762|5.152516744782712|5.080810944720065|5.0503615700059274|4.982816052015096|4.971717265078937|4.899728150503986,56|386|24|89|86|9|233|176|200|105|373|171|5|257|6|362|540|172|166|268|630|130|536|61|17|54|276|232|581|15|627|62|495|109|49|565|31,,FALSE,
4,definition,What mechanism does the Transformer rely on instead of recurrence?,8,1,56|630|130|276|232|178|627|61|565|609|491|618|17|580|536|54|291|561|20|83|1|15|182|59|571|591|31|195|488|84|572|263|62|570|257|555|48|299|30|509|105|386,,FALSE,0.7502123675524368|0.7411618052478096|0.7320929256767842|0.7297018147813847|0.7264171028961134|0.7231936413439103|0.7218178826201579|0.7218164905134132|0.7216070565444945|0.7216057331924803|0.7197091483795558|0.7182024169645552|0.7180924598989008|0.7179988937703771|0.7161412077412445|0.7141386068493496|0.7133759337476393|0.7115842394925368|0.7109931528358132|0.7109234044808427|0.7106086312965296|0.7073034446865935|0.7060230421410841|0.7043921064897419|0.704174495222677|0.7039643723401938|0.7034925745697366|0.7028813578055183|0.7019690340977616|0.7018961403934271|0.7013041547764634|0.7006183641330946|0.700026345813792|0.6992228294873977|0.6983554144162966|0.698170341607107|0.698079425830303|0.6980469595951142|0.6973229585862136|0.6970849751405402|0.6969319198788487|0.6967377445869188,171|1|542|510|128|390|387|302|190|111|191|207|104|539|253|348|109|105|192|210|331|226|546|52|137|151|161|76|72|170|150|242|176|169|316|213|243|75|246|208|31|233,,FALSE,14.987067334723939|11.079612979792408|10.57589114284972|10.401950314551055|9.541519550815483|9.343948450287337|8.578400185298928|8.371641992858208|8.352740129664259|8.341038341369963|8.270360416176626|8.25110935890247|7.763760269968918|7.578448643162621|6.9699728664611165|6.865272394448477|6.799731216395359|6.702078921068782|6.410212598683831|6.399106421039749|6.336495133883158|6.22698305451238|5.938423849504519|5.886785105816371|5.874052239902386|5.781678799902666|5.723841054486863|5.712555153614591|5.709720096837272|5.704910191582284|5.673365473236247|5.664724563037702|5.633724357594253|5.624602488727734|5.59114234022686|5.540531711322215|5.4770860264335735|5.439463699383176|5.414909631062072|5.371608944881634|5.365792972317951|5.242625951854735,1|105|171|542|510|128|390|387|302|190|111|191|207|104|539|253|348|109|192|210|56|630|130|276|232|178|627|61|565|609|491|618|17|580|536|54|291|561|20|83,,FALSE,
5,comparative,How does the number of operations required to relate distant positions differ between convolutional models and the Transformer?,9,1,41|8|591|586|573|538|9|572|31|529|26|588|38|517|4|53|300|6|612|562|528|638|554|17|24|589|219|20|33|552|570|29|85|584|557|3|45|568|533|30|353|5,7,FALSE,0.9617717302164898|0.9572609209215286|0.9571626388642207|0.9570894399398335|0.956623080895388|0.955028552427288|0.9546882790145969|0.9544602880858556|0.9542990940982304|0.9540087883024065|0.9538496548006732|0.9532897449692214|0.9530176321090543|0.952803356672926|0.9515045740036582|0.9514587497529866|0.9512979662166418|0.951275300421657|0.9510570581086449|0.9507371773390503|0.9502802380444791|0.9500488282579457|0.9499285095541216|0.948973327542275|0.9487104585911411|0.9485366936349904|0.9484923212917535|0.9483111317077723|0.948105259621145|0.9479317698187718|0.9478728933091438|0.9474612158729658|0.9474545400280189|0.9469352279405963|0.946926595566281|0.9467743948912645|0.9465189772401766|0.946486072202118|0.9461307076024613|0.946050318887778|0.9459347260653915|0.9457240380166152,9|245|204|52|357|155|200|29|240|226|237|496|205|34|16|310|242|246|87|278|190|102|164|206|70|165|1|178|217|327|259|144|180|154|390|75|304|395|151|243|141|216,1,TRUE,25.400761443840963|13.526360247282804|13.119624782013089|12.901309068766643|12.443431667647753|12.117051179356439|11.27043796989079|11.237368067662498|10.697484501335733|10.66731923960997|10.616447400667822|10.60303284018806|10.495507083877945|10.264129927262202|10.06689531960463|9.771600546189783|9.115422947521118|9.065662403024039|8.936953778329881|8.795887892907098|8.681426672679482|8.610887451279323|8.549409083296755|8.261904709564721|8.171981371251759|8.170481999855216|8.142666467977422|8.07959419367727|7.973789561294387|7.912985550062963|7.893762605622161|7.857009129364371|7.844803400679747|7.827081405311496|7.8177930671467175|7.782699166128026|7.7649353012237645|7.616552097204184|7.613441805399812|7.605648847585619|7.579751835951511|7.5535008101497345,9|29|245|204|52|357|155|200|240|226|237|496|205|34|16|310|242|246|87|278|41|8|591|586|573|538|572|31|529|26|588|38|517|4|53|300|6|612|562,1,TRUE,6
6,definition,How is self-attention defined?,10,1,595|375|628|627|131|171|568|241|178|220|395|630|565|616|228|195|636|274|545|299|224|327|540|580|578|182|392|113|479|308|257|152|2|105|56|193|35|177|204|87|107|386,,FALSE,0.5365770601303509|0.5359502559146821|0.5287189082670953|0.5180943237796954|0.5035550260665607|0.5018510754196757|0.5016486359974036|0.5005493788743669|0.5004640322784997|0.4993936391692957|0.4984572803175177|0.4974553590013953|0.49695899274690664|0.49665865424146166|0.49480841136231424|0.49355399119178606|0.4928216434184038|0.4923279207025165|0.49180013922160987|0.49110107332137476|0.491019770059845|0.4909804993791668|0.4900591829540992|0.488913433472113|0.4884609504512353|0.4881212301194481|0.48800292349834057|0.48799678176088873|0.48776336980826884|0.4863442537267436|0.48478457613533243|0.4835216704456084|0.48337147312522594|0.4833479386036693|0.48317224546160736|0.48258394939209553|0.48257204427016276|0.48227740822427334|0.48160349736876973|0.48110611383348817|0.4810268585556896|0.4809437345930837,10|200|206|260|29|105|259|32|386|24|164|173|86|174|205|350|201|168|171|310|87|175|35|275|293|446|34|176|216|504|186|380|374|78|365|51|137|264|18|219|17|506,1,TRUE,9.466363987450704|8.900351597911394|8.701042144482226|8.654658432258433|8.30112298327695|7.165126007503019|6.933745444486375|6.774808410354913|6.6757477057644365|6.65043953115211|6.533515226496265|6.179440313628853|6.117801923435316|6.104753271855556|6.068091881293215|5.964902461088975|5.757171745998041|5.664923468693666|5.629074761655121|5.483698566518868|5.030764501778717|4.907069495001469|4.9020923077275|4.819139218246415|4.746057357794255|4.726692370292496|4.702060329175303|4.673645949164786|4.555307148859926|4.387237449333215|4.295046808093379|4.268883137396738|4.233214846490506|4.18617249968885|4.1621545426287545|4.127751762420069|4.092998672940213|4.090552890846437|4.0800931638804645|4.0356546481214775|3.9880030161862554|3.985160739944763,171|105|386|10|200|206|260|29|259|32|24|164|173|86|174|205|350|201|168|310|595|375|628|627|131|568|241|178|220|395|630|565|616|228|195|636|274|545|299,4,TRUE,
7,definition,What distinguishes the Transformer from earlier transduction models?,11,1,56|630|276|232|130|536|61|491|17|178|609|627|54|1|83|565|229|618|591|571|31|20|263|291|182|204|561|488|580|84|226|581|572|15|555|62|364|250|187|105|323|49,,FALSE,0.767532590189623|0.7565090924702966|0.7527408297333317|0.7431054269983917|0.740563009785558|0.7368331696097399|0.7352095132154444|0.7348284717447734|0.7334675723034652|0.7314629794580173|0.7309980028938059|0.7276745962383843|0.727546939291185|0.7270382983901187|0.7265171605905424|0.7257968712021146|0.724186702157685|0.7238218873000896|0.7214990603734291|0.7212707171440211|0.7211525845061877|0.7198602085357166|0.7197042411103561|0.719230811487528|0.7190904181757877|0.7187251070747801|0.7181049737838922|0.717729177192166|0.7176085342085872|0.7175197067117047|0.7170488686142592|0.7166316196391848|0.7165804511834971|0.7157803241403359|0.7154779273543267|0.7152048031378863|0.7148192958413708|0.7139366835091219|0.7137953081474456|0.7136190659166819|0.7135189775377714|0.7133569845251085,11|248|111|302|539|228|150|348|331|496|155|379|386|1|170|169|214|253|127|182|91|72|171|110|178|105|167|322|77|151|166|154|384|207|390|90|75|328|183|361|192|9,1,TRUE,12.240534188383041|10.571414207875646|8.084064755279806|6.963415342702337|6.869937231774648|6.757875169817261|6.60759768712857|6.538718563228715|6.17879146396287|6.084376530802839|6.0541213798979685|5.818176169343314|5.755005742289876|5.753361864997771|5.704910191582284|5.489272829265419|5.452043205301516|5.374610139809406|5.3188612585706485|5.226223035971775|5.125703330197298|5.12330485692201|5.035193679109419|4.946605719644785|4.91135756202888|4.847365560436472|4.75082952374469|4.726524234178822|4.686558979477171|4.6663771974871215|4.655131084615237|4.649514173077776|4.645387843927425|4.623593277909917|4.607669503050613|4.561898556860802|4.550332340313793|4.53011364102117|4.528795373254624|4.447415688408251|4.3725938553920685|4.3540476672447435,1|182|11|248|111|302|539|228|150|348|331|496|155|379|386|170|169|214|253|127|56|630|276|232|130|536|61|491|17|178|609|627|54|83|565|229|618|591|571,3,TRUE,
8,definition,What overall encoder–decoder architecture does the Transformer use?,13,1,605|431|384|491|523|54|522|56|124|354|130|171|509|627|432|393|397|67|84|617|177|387|592|186|352|27|129|62|595|227|630|625|503|618|134|364|221|248|370|511|498|87,,FALSE,0.9950166116689214|0.7099780724657255|0.5930848511501458|0.18723558728663736|0.18713474541753622|0.18536423760043144|0.18297641538424814|0.1818132187395059|0.18173017724767362|0.18025604711848833|0.17737540480439679|0.17628934195308824|0.17604647154331932|0.17570439398795537|0.17566915108845532|0.17553968871106618|0.17534052632976846|0.17521058687994165|0.17502856347631868|0.17492022603394028|0.1746179589501008|0.1744769802586244|0.1743845582967496|0.17435084754245234|0.17393500691806826|0.1737863487468084|0.1733948854717348|0.17336012478721016|0.17325889277789255|0.17305455753922286|0.17301354726865945|0.17299945603736913|0.17298868707819087|0.17298518558227824|0.17290608348681447|0.17290496997972757|0.17261796340285443|0.17260804381819123|0.17247017330156902|0.17237338152231857|0.17236018633549777|0.17228013885664908,1|154|183|161|90|173|226|24|111|120|170|187|302|231|94|150|386|119|181|169|224|243|179|175|85|12|109|152|23|172|184|185|91|153|207|162|110|229|411|387|147|213,,FALSE,14.556211913574346|11.68514026675857|11.25267723548938|10.494587659807994|10.247397219178444|10.223042218166984|9.686303501513914|9.555550106052321|9.188996311957622|9.033097201610415|8.91763411515085|8.672706622541064|8.484652908748094|8.361438263453625|8.260156131072183|8.037877901035829|7.821896547547777|7.790187158714497|7.769050666080437|7.714556814070326|7.713099417892526|7.700948992973627|7.433041447335923|7.34554124764485|7.343632321557768|7.19778904424156|7.186087188455714|7.088959931430157|6.990824887147291|6.964260225988623|6.945580108725163|6.524833363045738|6.4990188877058115|6.477198513626993|6.432455339162764|6.421948958447783|6.41993779621712|6.3011248165509794|6.248303048792514|6.217471637093467|6.086033793253652|5.973073762931696,1|154|183|161|90|173|226|24|111|120|170|187|302|231|94|150|386|119|181|169|605|431|384|491|523|54|522|56|124|354|130|171|509|627|432|393|397|67|84|617,,FALSE,
9,definition,What two sub-layers make up each encoder layer?,14,1,627|576|565|630|491|178|628|274|580|56|616|352|55|609|59|132|276|232|182|241|17|536|105|204|21|291|228|130|20|264|121|161|11|83|54|591|31|128|257|552|432|49,,FALSE,0.6389500440832178|0.6324153152396192|0.6240657620676717|0.6233315976499213|0.6228181924741626|0.6181218237361293|0.6161511552012084|0.6147732617148666|0.6101295811279513|0.6093007158549837|0.6082484185819642|0.6070981420585325|0.6043929189034343|0.6037987643242811|0.6033891551934308|0.6028353281212177|0.6019622871996084|0.6019138078157593|0.6018166785201533|0.6016366344640256|0.6014701697015683|0.6005406156213076|0.5986687293590561|0.5984237895679452|0.5981689991862115|0.5980227739273719|0.5978996303124183|0.5977960130247|0.5977111809071248|0.5973634509723083|0.5971314939572295|0.5967974832123322|0.5965782117669876|0.5962226531343078|0.5957440313888219|0.5950485245660849|0.5949337421284056|0.5944973721568573|0.5940242825414481|0.5935801491437837|0.5934647581482315|0.5932648499649401,14|13|173|15|26|23|174|41|152|179|240|16|114|333|331|302|386|92|204|203|150|192|253|1|303|181|288|100|91|334|162|213|161|201|24|185|375|90|330|307|147|214,1,TRUE,26.996275817233183|25.06980622002227|22.01948444107516|17.50647849020626|12.035566369875422|11.962079470063077|11.144480873668176|9.891153144160823|9.461883746241243|9.245540635597933|9.208051304368746|9.184787831821431|8.888948701344956|8.846239914068567|8.665044255306995|8.562281793031937|7.781505995185748|7.473764002576842|7.3928591166309765|7.199780901561304|7.165366025725663|7.141632271982287|7.0877157778369435|6.944573485400815|6.899704719939649|6.890246645009766|6.872192104049317|6.758056970958306|6.505408713904746|6.254118867501376|6.082355288126152|5.963371550493895|5.850871443621166|5.822784619128665|5.793920007169156|5.749001932148143|5.626654483131771|5.476576889931133|5.386996931575494|5.2683758654364485|5.258580749334341|4.86803053668822,204|14|13|173|15|26|23|174|41|152|179|240|16|114|333|331|302|386|92|203|627|576|565|630|491|178|628|274|580|56|616|352|55|609|59|132|276|232|182|241,2,TRUE,
10,definition,What additional sub-layer is added to each decoder layer?,15,1,491|565|56|627|630|130|232|178|276|59|1|11|17|274|182|15|555|609|48|61|291|536|265|83|20|257|571|2|47|241|128|31|171|58|121|224|576|618|392|552|87|591,16,FALSE,0.6890892966961466|0.6889668870740411|0.6868750595239304|0.6863110887988616|0.6832934120461356|0.6741580193168413|0.6716506264838312|0.6705486537176061|0.6704250255357432|0.6695236465277011|0.6667121045683262|0.664783142263064|0.6643227297531012|0.6633923540235054|0.6633078840219834|0.6623602867807565|0.6610049369961956|0.660311245553421|0.6600970541023873|0.6581893858121826|0.6579045454219213|0.6576584572872727|0.6576229194714126|0.6573631848274102|0.6569337042050767|0.6567218728480795|0.6560313529945329|0.6551945282049786|0.6550690474806176|0.654485444022|0.6542374337261477|0.6541110041421121|0.6538406844828731|0.6535240619667361|0.6532954106392421|0.6526942954308517|0.6523897036225689|0.6523300392349562|0.6520421757798212|0.6516039099742714|0.6505154963151971|0.6501700256713471,14|15|173|16|114|174|13|41|201|150|26|92|214|34|103|27|192|128|240|213|331|62|542|339|147|302|181|105|199|91|22|265|511|512|111|161|120|288|169|228|510|108,2,TRUE,24.466852945196656|23.323988640689024|19.14314883707506|18.55851755287184|17.847596471303987|17.82728120509552|16.42767572983293|14.576100274004942|14.451681837299603|13.199610854032965|12.489208623218946|11.229370870226465|10.78018706432036|9.757286138127853|9.590158454127|9.589090546806034|9.206536030878937|9.185538991440884|8.486596256175938|8.204189128143707|8.196222225024812|7.934047781523379|7.7785813846766025|7.689809750999638|7.4265633162764075|7.244437139383635|7.132738911620732|6.951473864868589|6.878215951187652|6.814881111684547|6.720897717748707|6.720897717748707|6.579718153166362|6.332668360704826|6.25817664663324|6.155233623887817|6.119954084664078|5.993050296582466|5.986979615188969|5.936081397779502|5.847197719267722|5.552859262973403,15|128|14|173|16|114|174|13|41|201|150|26|92|214|34|103|27|192|240|213|491|565|56|627|630|130|232|178|276|59|1|11|17|274|182|555|609|48|61,1,TRUE,15
