question_id,question_intent,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_rank
0,status / scope,0,0,3|36|15|19|22|5|13|10|1|9|40|21|31|8|37|17|24|4|32|35|39|23|11|29|33|0|12|7|27|14|20|41|34|28|18|26|2|30|6|38|25|16,26,FALSE,0|13|29|9|12|40|7|2|32|14|1|8|3|28|39|37|27|35|30|5|36|16|38|33|6|21|31|4|34|19|25|17|41|24|11|18|23,1,TRUE,3|5|13|1|9|40|8|37|32|35|39|29|0|12|7|27|14|28|2|30|36|15|19|22|10|21|31|17|24|4,13,FALSE,13
1,factual,1,0,3|15|5|22|19|36|10|9|31|1|13|8|37|40|21|17|24|27|32|4|35|23|39|14|12|0|7|20|29|11|34|41|33|38|26|18|28|2|30|6|25|16,10,FALSE,1|13|0|14|40|12|2|29|7|8|9|3|4|32|34|31|39|35|36|37|33|41|24|25|38|18|17|5|16|23,1,TRUE,3|36|9|31|1|13|8|37|40|32|4|35|39|14|12|0|7|29|34|2|15|5|22|19|10|21|17|24|27,5,FALSE,5
2,factual,2,0,19|5|36|3|15|22|10|40|1|31|21|13|8|37|9|17|24|4|12|14|29|39|35|32|20|27|0|7|23|11|33|41|38|34|26|28|30|18|2|6|25|16,39,FALSE,2|3|30|1|5|36|37|38|35|11|31|10|7|14|8|6|9|4|32|12|39|33|40|28|13|29|24|16|23|34|0|17|25,1,TRUE,5|36|3|10|1|31|8|37|9|4|12|14|35|32|7|11|38|30|2|6|19|15|22|40|21|13|17|24,19,FALSE,20
3,decision,3,0,5|3|10|15|36|19|22|13|9|1|40|37|8|21|31|17|24|4|32|27|35|12|7|14|0|20|23|33|41|11|39|34|38|29|26|18|28|2|30|6|25|16,2,TRUE,1|3|0|6|39|29|8|7|2|12|37|30|35|31|20|5|38|32|40|9|4|13|10|19|23|11|22|21|33|34|41|16|25,2,TRUE,5|3|9|1|40|37|8|31|32|35|12|7|0|20|39|38|29|2|30|6|10|15|36|19|22|13|21|17|24|4|27,2,TRUE,0
4,rationale,4,0,36|17|40|21|22|5|3|10|31|24|19|15|8|9|13|1|37|23|30|35|7|4|14|29|27|11|20|39|12|34|0|18|26|33|6|32|41|28|25|16|2|38,22,FALSE,4|2|3|35|1|10|5|41|36|15|17|26|18|28|40|22|29|27|32|33|34|25|38|8|37|39|6|30|21|31|7|9,1,TRUE,36|17|40|22|5|3|10|15|1|35|4|29|27|18|26|33|32|41|28|2|21|31|24|19|8|9|13|37|23|30,11,FALSE,11
5,rationale,5,0,36|15|3|19|40|13|1|22|5|9|10|8|31|21|17|37|24|27|4|32|12|7|23|30|35|11|14|20|29|0|41|34|33|39|38|18|26|2|28|6|25|16,9,FALSE,5|29|3|1|6|4|40|2|9|26|39|12|25|32|8|0|27|18|17|14|15|20|19|13|41|10|7|16|23|37,1,TRUE,3|40|1|5|9|8|17|27|4|32|12|14|29|0|39|18|26|2|6|25|36|15|19|13|22|10|31|21|37|24,4,TRUE,5
6,decision,6,0,36|3|15|19|22|10|1|5|40|21|9|8|13|37|31|17|24|27|4|32|39|23|35|7|12|11|20|33|29|41|34|0|14|26|18|2|30|28|38|6|25|16,40,FALSE,6|12|3|5|2|1|7|0|29|8|32|31|13|9|28|38|34|27|41|14|40|4|23|15|39|35|36|37|10|33|21|24|25|18|17|16,1,TRUE,3|1|5|9|8|13|31|27|32|7|12|29|41|34|0|14|2|28|38|6|36|15|19|22|10|40|21|37|17|24|4,20,FALSE,20
7,decision,7,0,36|3|15|5|22|10|13|1|19|40|37|21|9|8|31|24|17|7|4|35|27|32|29|20|0|12|41|11|14|39|23|38|26|18|33|30|2|28|6|25|34|16,18,FALSE,7|9|12|8|2|31|10|0|3|29|36|1|14|6|39|13|30|40|37|11|38|28|4|16|32|34|19|35|15|33|41|24|25|18|17|5|23,1,TRUE,36|3|10|13|1|40|37|9|8|31|7|29|0|12|11|14|39|30|2|6|15|5|22|19|21|24|17|4|35,11,FALSE,7
8,rationale,8,0,36|3|5|15|22|10|13|1|31|9|19|40|21|8|37|24|17|27|23|32|35|33|4|14|7|12|20|39|0|41|29|11|34|26|18|38|2|28|30|6|25|16,14,FALSE,8|7|9|1|10|12|2|5|6|0|31|36|3|13|29|40|37|27|18|38|30|16|33|26|39|17|28|25|19|4|32|11|35|15,1,TRUE,36|3|5|10|13|1|31|9|40|8|37|27|7|12|0|29|18|38|2|6|15|22|19|21|24|17|23|32,10,FALSE,4
9,scope/inventory,9,0,36|15|3|5|22|10|31|19|40|1|9|13|21|8|37|17|24|4|23|27|32|7|35|29|14|20|12|41|33|39|0|38|11|26|18|28|30|2|6|34|25|16,11,FALSE,9|8|1|14|2|29|0|12|7|3|30|36|13|6|38|5|32|31|40|28|37|27|4|21|17|11|33|10|18|16|39|34|35|25,1,TRUE,36|3|5|31|40|1|9|13|8|32|7|29|14|12|0|38|28|30|2|6|15|22|10|19|21|37|17|24|4|23|27,7,FALSE,4
10,rationale,10,0,36|3|22|5|19|10|15|1|40|8|37|31|13|9|21|17|24|23|39|4|7|29|0|14|35|20|32|11|27|33|38|41|34|12|26|30|2|28|18|6|25|16,6,FALSE,10|7|8|6|22|12|2|9|3|14|36|29|16|5|26|1|21|11|31|32|27|15|13|28|20|0|39|30|23|4|19|41|18|17|34|35|38|37,1,TRUE,36|3|22|5|10|1|8|31|9|21|7|29|14|32|11|12|26|2|6|16|19|15|40|37|13|17|24|23|39|4,5,FALSE,1
11,numeric / factual,11,0,5|22|15|3|36|9|10|19|31|1|13|8|21|40|37|24|17|4|39|14|12|7|27|20|11|0|32|34|41|23|35|29|38|33|26|18|28|30|2|6|25|16,25,FALSE,39|11|19|14|20|31|2|30|9|1|6|3|12|36|8|7|10|28|32|5|13|33|38|37|0|29|16|40,2,TRUE,5|3|36|9|10|19|31|1|8|39|14|12|7|20|11|32|28|30|2|6|22|15|13|21|40|37|24|17|4,15,FALSE,10
12,factual,12,0,36|3|5|22|19|10|15|9|31|37|8|1|24|40|21|17|13|27|35|7|23|32|4|0|14|12|20|11|39|38|41|34|33|29|26|18|30|2|28|6|25|16,26,FALSE,12|11|30|33|2|10|1|39|8|0|22|40|31|7|21|34|29|13|32|36|6|9|5|4|27|38|35|28|20|19|14|17|25,1,TRUE,36|22|10|31|8|1|40|21|13|7|32|0|12|11|39|34|33|29|30|2|3|5|19|15|9|37|24|17|27|35,13,FALSE,13
13,rhetorical / summary,13,0,5|19|3|15|22|36|9|10|40|31|1|21|8|13|37|17|24|4|23|39|14|35|0|12|27|7|20|29|11|32|38|34|41|33|26|28|18|30|2|6|25|16,14,FALSE,0|13|12|29|40|14|7|8|1|9|2|32|39|34|33|35|36|4|3|31|37|38|27|21|30|28|5|25|17|41|24|11|18|16|23,2,TRUE,3|36|9|40|31|1|8|13|4|39|14|35|0|12|7|29|32|34|33|2|5|19|15|22|10|21|37|17|24|23,8,FALSE,6
14,definition,14,1,22|19|15|40|5|3|9|31|36|10|13|1|21|17|8|37|24|14|23|12|0|7|20|29|39|32|4|27|38|41|35|26|28|18|30|2|6|11|25|33|16|34,18,FALSE,14|5|1|2|40|28|7|21|23|12|32|33|16|8|18|20|13|9|15|26|19|6|31|36|3|0|29|27|30|4|39|11|17|34|35|38|25,1,TRUE,15|40|5|9|13|1|21|8|14|23|12|7|20|32|26|28|18|2|33|16|22|19|3|31|36|10|17|37|24,9,FALSE,9
15,mechanistic,15,1,15|22|5|3|19|36|9|10|1|13|8|40|24|31|21|37|17|4|23|35|7|12|14|20|32|0|29|39|27|38|41|34|33|28|26|18|30|2|6|11|25|16,1,TRUE,20|19|39|23|14|28|16|18|15|3|6|5|12|13|21|27|32|8|25|26|2|17|4|41|1|33|10|7|0|9|29|37|30|31|40|36,9,FALSE,15|5|3|19|13|8|21|23|12|14|20|32|39|27|28|26|18|6|25|16|22|36|9|10|1|40|24|31|37|17|4|35,1,TRUE,0
16,mechanistic,16,1,5|3|15|19|22|9|10|36|40|24|8|1|31|13|21|17|37|4|23|14|12|29|20|32|7|0|39|38|27|41|34|35|33|28|26|18|30|2|6|11|25|16,42,FALSE,28|20|16|26|14|23|9|17|15|18|19|21|39|27|1|5|41|0|2|12|22|11|30|31,3,TRUE,5|15|19|9|1|21|17|23|14|12|20|0|39|27|41|28|26|18|2|16|3|22|10|36|40|24|8|31|13|37|4,20,FALSE,22
17,factual,17,1,3|5|22|15|19|10|36|9|40|1|8|31|21|13|17|37|24|4|14|35|12|39|7|0|20|11|27|38|32|41|23|29|33|28|26|30|34|18|2|6|25|16,15,FALSE,14|27|18|26|23|28|20|17|21|16|15|11|31|1|5|30|32|25|22|19|9|35|36,8,FALSE,5|22|15|19|1|31|21|17|14|20|11|27|32|23|28|26|30|18|25|16|3|10|36|9|40|8|13|37|24|4|35,8,FALSE,7
18,mechanistic,18,1,36|22|19|15|3|9|5|13|10|37|1|21|8|40|31|24|17|4|23|14|27|29|7|12|20|41|32|39|38|35|34|33|11|0|26|18|30|28|2|6|25|16,36,FALSE,18|17|15|23|26|25|14|11|16|28|21|5|27|22|7|2|20|0|41|33|12|4|1|35|40|38|36|31|29|19|3|30|8|13|32|9|34,1,TRUE,22|15|5|21|17|23|14|27|7|20|41|33|11|0|26|18|28|2|25|16|36|19|3|9|13|10|37|1|8|40|31|24|4,16,FALSE,20
19,comparative,19,1,3|36|15|10|19|5|22|40|31|1|9|37|21|13|8|17|24|4|7|39|12|20|35|41|27|0|29|11|23|33|32|38|14|34|26|18|28|30|2|6|25|16,5,FALSE,19|39|21|1|14|28|22|20|5|8|23|29|40|18|16|33|15|6|13|0|9|12|34|36|7|26|2|4|27|3|32|11|38|30|31,1,TRUE,15|19|5|22|40|1|21|13|8|39|20|0|29|23|33|14|18|28|6|16|3|36|10|31|9|37|17|24|4|7,2,TRUE,3
